# Id, Prediction
1,-1.0416
2,-1.2018
3,-1.0555
4,-1.1433
5,-1.0798
6,-1.1864
7,-1.3685
8,-1.1574
9,-1.5568
10,-1.3065
11,-1.2162
12,-1.2260
13,-1.3578
14,-1.2047
15,-1.4670
16,-1.4406
17,-1.1717
18,-1.2555
19,-1.2032
20,-1.2112
21,-1.2585
22,-1.2393
23,-1.1674
24,-1.6280
25,-1.0685
26,-1.2581
27,-1.0788
28,-1.3018
29,-1.1351
30,-1.0634
31,-1.2771
32,-1.2617
33,-1.2293
34,-1.4038
35,-1.1268
36,-1.1855
37,-1.4134
38,-1.2576
39,-1.1143
40,-1.4302
41,-1.2760
42,-1.1949
43,-1.4048
44,-1.1979
45,-1.1977
46,-1.2045
47,-1.1972
48,-1.6543
49,-1.1381
50,-1.2546
51,-1.0893
52,-1.0756
53,-1.4585
54,-1.4564
55,-1.0635
56,-1.0720
57,-1.3488
58,-1.4146
59,-1.3429
60,-1.2880
61,-1.0995
62,-1.3198
63,-1.2440
64,-1.3588
65,-1.6496
66,-1.2612
67,-1.2082
68,-1.2196
69,-1.0942
70,-1.1055
71,-1.5251
72,-1.3882
73,-1.1587
74,-1.0749
75,-1.0697
76,-1.1938
77,-1.1054
78,-1.2307
79,-1.1150
80,-1.0636
81,-1.2049
82,-1.1385
83,-1.1538
84,-1.1629
85,-1.1728
86,-1.0613
87,-1.0904
88,-1.0693
89,-1.1191
90,-1.0941
91,-1.0726
92,-1.1474
93,-1.1662
94,-1.2170
95,-1.2874
96,-1.4447
97,-1.2455
98,-1.1446
99,-1.1771
100,-1.2432
101,-1.2775
102,-1.2207
103,-1.2664
104,-1.1008
105,-1.2890
106,-1.1021
107,-1.3324
108,-1.2598
109,-1.1599
110,-1.3017
111,-1.2711
112,-1.1160
113,-1.3986
114,-1.4256
115,-1.2480
116,-1.1338
117,-1.1750
118,-1.1873
119,-1.2629
120,-1.2804
121,-1.1254
122,-1.0983
123,-1.3329
124,-1.5160
125,-1.1237
126,-1.3184
127,-1.2296
128,-1.1354
129,-1.0591
130,-1.1581
131,-1.0612
132,-1.0673
133,-1.1438
134,-1.5874
135,-1.1293
136,-1.1287
137,-1.2650
138,-1.4725
139,-1.1093
140,-1.5996
141,-1.0510
142,-1.5087
143,-1.0244
144,-1.1286
145,-1.0805
146,-1.4288
147,-1.4163
148,-1.2488
149,-1.0261
150,-1.1335
151,-1.5595
152,-1.2029
153,-1.0859
154,-1.4395
155,-1.1054
156,-1.0880
157,-1.2293
158,-1.0155
159,-1.2484
160,-1.1996
161,-1.1776
162,-1.2161
163,-1.1147
164,-1.2796
165,-1.1924
166,-1.2478
167,-1.4197
168,-1.1491
169,-1.1610
170,-1.2334
171,-1.1118
172,-1.2934
173,-1.0760
174,-1.1914
175,-1.0040
176,-1.0762
177,-1.1400
178,-1.1172
179,-1.0443
180,-1.0483
181,-1.1448
182,-1.0985
183,-1.1550
184,-1.2289
185,-1.2163
186,-1.5677
187,-1.6392
188,-1.1946
189,-1.2801
190,-1.2847
191,-1.1473
192,-1.2038
193,-1.1395
194,-1.3189
195,-1.2128
196,-1.2003
197,-1.4041
198,-1.0721
199,-1.1189
200,-1.1202
